partner,source_sheet,section,entity,metric,student_group,school_year,value,notes,record_type,student_count,category,location,period,circulation,program_attendance,visitation,enrollment_count,books_read,met_minimum,books_distributed
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2016-17,0.244,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2017-18,0.269,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2018-19,0.25,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2020-21,0.112,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2021-22,0.119,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2022-23,0.135,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2023-24,0.136,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Career and College Ready (Levels 4-5),,2024-25,0.139,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2016-17,0.455,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2017-18,0.46,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2018-19,0.452,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2020-21,0.289,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2021-22,0.293,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2022-23,0.309,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2023-24,0.305,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Career and College Ready (Levels 4-5),,2024-25,0.315,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2016-17,0.597,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2017-18,0.724,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2018-19,0.5,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2020-21,0.633,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2021-22,0.416,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2022-23,0.505,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2023-24,0.537,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Met Grade 3 Benchmark,2024-25,0.593,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2016-17,0.706,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2017-18,0.709,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2018-19,0.669,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2020-21,0.59,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2021-22,0.588,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2022-23,0.625,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2023-24,0.629,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Met Grade 3 Benchmark,2024-25,0.64,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2016-17,0.856,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2017-18,0.845,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2018-19,0.823,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2019-20,--,,reading_assessment,,,,,,,,,,,
